Geneid	L10_WT1	L10_WT2	L10_WT3	L10_WT4	p13_WT1	p13_WT2	p13_WT3	p13_WT4
ENSMUSG00000102693	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0
ENSMUSG00000051951	13	20	17	12	38	40	64	48
ENSMUSG00000102851	0	0	1	0	0	0	2	0
ENSMUSG00000103377	0	1	2	3	12	10	9	14
ENSMUSG00000104017	0	1	1	1	11	6	7	8
ENSMUSG00000103025	0	0	0	0	1	1	2	5
ENSMUSG00000089699	0	0	1	0	0	0	0	0
ENSMUSG00000103201	1	0	2	2	3	5	4	13
ENSMUSG00000103147	1	0	1	2	5	4	2	2
ENSMUSG00000103161	2	3	2	1	15	6	12	16
ENSMUSG00000102331	0	2	7	2	13	13	18	16
ENSMUSG00000102348	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	1	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	2	1	1	1
ENSMUSG00000102948	0	0	0	0	2	8	3	2
ENSMUSG00000025900	0	2	0	0	65	66	51	102
ENSMUSG00000104123	0	0	0	0	4	2	4	5
ENSMUSG00000025902	35	37	71	28	129	111	158	255
ENSMUSG00000104238	0	0	2	2	8	11	8	14
ENSMUSG00000102269	0	2	1	0	8	5	5	9
ENSMUSG00000096126	0	0	0	0	0	1	0	0
ENSMUSG00000103003	0	0	0	0	0	2	1	0
ENSMUSG00000104328	0	0	1	0	4	1	4	5
ENSMUSG00000102735	0	0	0	0	0	0	2	0
ENSMUSG00000098104	3	2	3	2	8	16	23	20
ENSMUSG00000102175	0	0	1	3	13	14	10	13
ENSMUSG00000088000	0	0	0	0	3	2	0	0
ENSMUSG00000103265	0	0	3	0	16	8	10	9
ENSMUSG00000103922	2	2	5	5	32	32	29	25
ENSMUSG00000033845	137	101	174	91	842	1011	938	1378
ENSMUSG00000102275	1	3	3	0	16	18	14	28
ENSMUSG00000025903	333	241	372	231	1305	1589	1299	2043
ENSMUSG00000104217	0	0	0	0	1	2	1	2
ENSMUSG00000033813	166	163	215	177	1015	1207	1213	1575
ENSMUSG00000062588	1	0	3	2	14	9	8	24
ENSMUSG00000103280	0	1	7	0	63	40	46	54
ENSMUSG00000002459	3	5	5	3	210	144	167	175
ENSMUSG00000091305	0	0	0	0	17	10	16	16
ENSMUSG00000102653	0	0	0	1	179	86	84	95
ENSMUSG00000085623	3	0	6	2	436	270	222	230
ENSMUSG00000091665	0	0	0	0	0	0	0	0
ENSMUSG00000033793	430	372	572	265	1569	1576	1606	2344
ENSMUSG00000104352	0	0	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	3	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0	0	0
ENSMUSG00000025905	0	0	0	0	0	0	1	1
ENSMUSG00000103936	0	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	2
ENSMUSG00000033774	0	0	0	0	0	0	0	0
ENSMUSG00000103090	0	0	0	0	0	0	0	0
ENSMUSG00000025907	690	635	1117	523	3923	3499	3692	4792
ENSMUSG00000090031	13	24	37	13	312	209	228	338
ENSMUSG00000087247	0	0	0	0	0	0	0	0
ENSMUSG00000103355	0	0	0	0	0	1	0	3
ENSMUSG00000102706	0	0	0	0	0	0	0	0
ENSMUSG00000103845	0	0	0	0	4	7	6	3
ENSMUSG00000033740	2	0	0	0	1	2	1	10
ENSMUSG00000103329	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0
ENSMUSG00000102135	0	1	1	1	2	5	5	4
ENSMUSG00000103282	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	1
ENSMUSG00000051285	1028	1183	1663	936	2655	2627	2368	3630
ENSMUSG00000098201	1	4	2	3	36	31	21	33
ENSMUSG00000103509	30	57	134	40	661	439	472	664
ENSMUSG00000048538	0	1	0	1	0	0	4	1
ENSMUSG00000103709	0	0	0	0	0	0	1	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0
ENSMUSG00000097797	0	6	11	3	149	130	112	141
ENSMUSG00000103498	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	3	3	2	8
ENSMUSG00000102320	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	1	0	1	1	0	0
ENSMUSG00000103903	0	0	1	0	0	0	0	1
ENSMUSG00000103557	0	0	0	0	0	0	0	0
ENSMUSG00000025909	1	0	1	0	14	23	17	19
ENSMUSG00000102647	0	0	0	0	0	1	0	1
ENSMUSG00000086235	0	0	0	0	0	0	0	0
ENSMUSG00000102253	1	0	2	0	1	1	0	2
ENSMUSG00000093970	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	1	0	0	0	1	3	0
ENSMUSG00000084353	0	0	0	0	2	4	0	1
ENSMUSG00000103933	1	1	0	0	5	1	3	10
ENSMUSG00000076135	0	0	0	0	0	0	1	2
ENSMUSG00000086195	0	0	0	0	0	0	0	0
ENSMUSG00000104504	1	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	1	0	1	1
ENSMUSG00000102316	0	0	0	0	1	0	2	2
ENSMUSG00000103819	0	0	0	0	1	1	0	2
ENSMUSG00000102871	1	0	0	0	2	5	4	3
ENSMUSG00000101571	0	0	1	0	0	0	1	1
