Geneid	L1_WT1	L1_WT2	L1_WT4	p13_WT1	p13_WT2	p13_WT3	p13_WT4
ENSMUSG00000102693	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0
ENSMUSG00000051951	65	61	29	38	40	64	48
ENSMUSG00000102851	0	0	0	0	0	2	0
ENSMUSG00000103377	13	7	7	12	10	9	14
ENSMUSG00000104017	9	8	1	11	6	7	8
ENSMUSG00000103025	2	1	4	1	1	2	5
ENSMUSG00000089699	0	0	0	0	0	0	0
ENSMUSG00000103201	5	4	6	3	5	4	13
ENSMUSG00000103147	3	2	5	5	4	2	2
ENSMUSG00000103161	9	14	11	15	6	12	16
ENSMUSG00000102331	18	10	10	13	13	18	16
ENSMUSG00000102348	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	1	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	2	1	1	1
ENSMUSG00000102948	0	0	0	2	8	3	2
ENSMUSG00000025900	1	1	0	65	66	51	102
ENSMUSG00000104123	0	0	0	4	2	4	5
ENSMUSG00000025902	123	119	118	129	111	158	255
ENSMUSG00000104238	5	5	3	8	11	8	14
ENSMUSG00000102269	4	5	4	8	5	5	9
ENSMUSG00000096126	0	0	0	0	1	0	0
ENSMUSG00000103003	0	0	0	0	2	1	0
ENSMUSG00000104328	3	0	1	4	1	4	5
ENSMUSG00000102735	1	0	0	0	0	2	0
ENSMUSG00000098104	8	6	12	8	16	23	20
ENSMUSG00000102175	6	4	6	13	14	10	13
ENSMUSG00000088000	1	1	3	3	2	0	0
ENSMUSG00000103265	4	1	4	16	8	10	9
ENSMUSG00000103922	15	4	16	32	32	29	25
ENSMUSG00000033845	545	438	419	842	1011	938	1378
ENSMUSG00000102275	5	6	12	16	18	14	28
ENSMUSG00000025903	784	650	654	1305	1589	1299	2043
ENSMUSG00000104217	0	0	1	1	2	1	2
ENSMUSG00000033813	652	543	566	1015	1207	1213	1575
ENSMUSG00000062588	4	2	10	14	9	8	24
ENSMUSG00000103280	12	13	22	63	40	46	54
ENSMUSG00000002459	26	22	81	210	144	167	175
ENSMUSG00000091305	7	2	6	17	10	16	16
ENSMUSG00000102653	19	12	25	179	86	84	95
ENSMUSG00000085623	38	13	53	436	270	222	230
ENSMUSG00000091665	0	0	0	0	0	0	0
ENSMUSG00000033793	1914	1416	1243	1569	1576	1606	2344
ENSMUSG00000104352	0	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	3	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0	0
ENSMUSG00000025905	0	0	0	0	0	1	1
ENSMUSG00000103936	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	2
ENSMUSG00000033774	0	0	0	0	0	0	0
ENSMUSG00000103090	0	0	0	0	0	0	0
ENSMUSG00000025907	1995	1556	2178	3923	3499	3692	4792
ENSMUSG00000090031	127	81	144	312	209	228	338
ENSMUSG00000087247	0	0	0	0	0	0	0
ENSMUSG00000103355	0	0	0	0	1	0	3
ENSMUSG00000102706	0	0	0	0	0	0	0
ENSMUSG00000103845	0	0	0	4	7	6	3
ENSMUSG00000033740	1	3	2	1	2	1	10
ENSMUSG00000103329	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0
ENSMUSG00000102135	2	2	2	2	5	5	4
ENSMUSG00000103282	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	1
ENSMUSG00000051285	1940	1594	1711	2655	2627	2368	3630
