Geneid	L1_WT1	L1_WT2	L1_WT4	p6_WT1	p6_WT2	p6_WT4
ENSMUSG00000102693	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0
ENSMUSG00000051951	65	61	29	29	29	86
ENSMUSG00000102851	0	0	0	0	0	1
ENSMUSG00000103377	13	7	7	5	0	15
ENSMUSG00000104017	9	8	1	5	2	16
ENSMUSG00000103025	2	1	4	0	2	5
ENSMUSG00000089699	0	0	0	0	0	0
ENSMUSG00000103201	5	4	6	6	0	12
ENSMUSG00000103147	3	2	5	5	2	3
ENSMUSG00000103161	9	14	11	10	1	15
ENSMUSG00000102331	18	10	10	11	6	20
ENSMUSG00000102348	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0
ENSMUSG00000102948	0	0	0	1	4	1
ENSMUSG00000025900	1	1	0	11	25	11
ENSMUSG00000104123	0	0	0	0	1	1
ENSMUSG00000025902	123	119	118	77	53	69
ENSMUSG00000104238	5	5	3	5	2	3
ENSMUSG00000102269	4	5	4	5	5	6
ENSMUSG00000096126	0	0	0	0	1	0
ENSMUSG00000103003	0	0	0	0	0	0
ENSMUSG00000104328	3	0	1	0	1	0
ENSMUSG00000102735	1	0	0	0	1	0
ENSMUSG00000098104	8	6	12	9	15	12
ENSMUSG00000102175	6	4	6	7	7	5
ENSMUSG00000088000	1	1	3	0	1	1
ENSMUSG00000103265	4	1	4	4	1	6
ENSMUSG00000103922	15	4	16	6	8	11
ENSMUSG00000033845	545	438	419	148	248	283
ENSMUSG00000102275	5	6	12	5	0	7
ENSMUSG00000025903	784	650	654	143	294	296
ENSMUSG00000104217	0	0	1	0	0	0
ENSMUSG00000033813	652	543	566	134	284	337
ENSMUSG00000062588	4	2	10	2	10	7
ENSMUSG00000103280	12	13	22	12	8	11
ENSMUSG00000002459	26	22	81	56	27	52
ENSMUSG00000091305	7	2	6	4	0	6
ENSMUSG00000102653	19	12	25	28	8	31
ENSMUSG00000085623	38	13	53	99	29	108
ENSMUSG00000091665	0	0	0	0	1	0
ENSMUSG00000033793	1914	1416	1243	264	437	500
ENSMUSG00000104352	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0
ENSMUSG00000025905	0	0	0	0	0	0
ENSMUSG00000103936	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0
ENSMUSG00000033774	0	0	0	0	0	0
ENSMUSG00000103090	0	0	0	0	0	0
ENSMUSG00000025907	1995	1556	2178	981	1046	1169
ENSMUSG00000090031	127	81	144	71	71	93
ENSMUSG00000087247	0	0	0	0	0	0
ENSMUSG00000103355	0	0	0	0	0	0
ENSMUSG00000102706	0	0	0	0	0	0
ENSMUSG00000103845	0	0	0	1	2	1
ENSMUSG00000033740	1	3	2	2	0	7
ENSMUSG00000103329	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0
ENSMUSG00000102135	2	2	2	0	2	2
ENSMUSG00000103282	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	1	0	0
ENSMUSG00000051285	1940	1594	1711	532	730	786
ENSMUSG00000098201	8	14	14	6	10	9
ENSMUSG00000103509	286	252	241	161	105	192
ENSMUSG00000048538	1	2	1	0	0	0
ENSMUSG00000103709	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0
ENSMUSG00000097797	45	26	38	23	23	42
ENSMUSG00000103498	0	0	0	0	0	0
ENSMUSG00000103067	1	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0
ENSMUSG00000025909	9	5	9	4	9	13
ENSMUSG00000102647	0	0	1	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0
ENSMUSG00000102253	0	1	0	0	1	1
ENSMUSG00000093970	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	1
