Geneid	p13_WT1	p13_WT2	p13_WT3	p13_WT4	p6_WT1	p6_WT2	p6_WT4
ENSMUSG00000102693	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0
ENSMUSG00000051951	38	40	64	48	29	29	86
ENSMUSG00000102851	0	0	2	0	0	0	1
ENSMUSG00000103377	12	10	9	14	5	0	15
ENSMUSG00000104017	11	6	7	8	5	2	16
ENSMUSG00000103025	1	1	2	5	0	2	5
ENSMUSG00000089699	0	0	0	0	0	0	0
ENSMUSG00000103201	3	5	4	13	6	0	12
ENSMUSG00000103147	5	4	2	2	5	2	3
ENSMUSG00000103161	15	6	12	16	10	1	15
ENSMUSG00000102331	13	13	18	16	11	6	20
ENSMUSG00000102348	0	0	0	0	0	0	0
ENSMUSG00000102592	1	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0
ENSMUSG00000102343	2	1	1	1	0	0	0
ENSMUSG00000102948	2	8	3	2	1	4	1
ENSMUSG00000025900	65	66	51	102	11	25	11
ENSMUSG00000104123	4	2	4	5	0	1	1
ENSMUSG00000025902	129	111	158	255	77	53	69
ENSMUSG00000104238	8	11	8	14	5	2	3
ENSMUSG00000102269	8	5	5	9	5	5	6
ENSMUSG00000096126	0	1	0	0	0	1	0
ENSMUSG00000103003	0	2	1	0	0	0	0
ENSMUSG00000104328	4	1	4	5	0	1	0
ENSMUSG00000102735	0	0	2	0	0	1	0
ENSMUSG00000098104	8	16	23	20	9	15	12
ENSMUSG00000102175	13	14	10	13	7	7	5
ENSMUSG00000088000	3	2	0	0	0	1	1
ENSMUSG00000103265	16	8	10	9	4	1	6
ENSMUSG00000103922	32	32	29	25	6	8	11
ENSMUSG00000033845	842	1011	938	1378	148	248	283
ENSMUSG00000102275	16	18	14	28	5	0	7
ENSMUSG00000025903	1305	1589	1299	2043	143	294	296
ENSMUSG00000104217	1	2	1	2	0	0	0
ENSMUSG00000033813	1015	1207	1213	1575	134	284	337
ENSMUSG00000062588	14	9	8	24	2	10	7
ENSMUSG00000103280	63	40	46	54	12	8	11
ENSMUSG00000002459	210	144	167	175	56	27	52
ENSMUSG00000091305	17	10	16	16	4	0	6
ENSMUSG00000102653	179	86	84	95	28	8	31
ENSMUSG00000085623	436	270	222	230	99	29	108
ENSMUSG00000091665	0	0	0	0	0	1	0
ENSMUSG00000033793	1569	1576	1606	2344	264	437	500
ENSMUSG00000104352	0	0	0	0	0	0	0
ENSMUSG00000104046	3	0	0	0	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0	0
ENSMUSG00000025905	0	0	1	1	0	0	0
ENSMUSG00000103936	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	2	0	0	0
ENSMUSG00000033774	0	0	0	0	0	0	0
ENSMUSG00000103090	0	0	0	0	0	0	0
ENSMUSG00000025907	3923	3499	3692	4792	981	1046	1169
ENSMUSG00000090031	312	209	228	338	71	71	93
ENSMUSG00000087247	0	0	0	0	0	0	0
ENSMUSG00000103355	0	1	0	3	0	0	0
ENSMUSG00000102706	0	0	0	0	0	0	0
ENSMUSG00000103845	4	7	6	3	1	2	1
ENSMUSG00000033740	1	2	1	10	2	0	7
ENSMUSG00000103329	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0
ENSMUSG00000102135	2	5	5	4	0	2	2
ENSMUSG00000103282	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	1	1	0	0
ENSMUSG00000051285	2655	2627	2368	3630	532	730	786
