Geneid	L10_WT1	L10_WT2	L10_WT3	L10_WT4	L1_WT1	L1_WT2	L1_WT4
ENSMUSG00000102693	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0
ENSMUSG00000051951	13	20	17	12	65	61	29
ENSMUSG00000102851	0	0	1	0	0	0	0
ENSMUSG00000103377	0	1	2	3	13	7	7
ENSMUSG00000104017	0	1	1	1	9	8	1
ENSMUSG00000103025	0	0	0	0	2	1	4
ENSMUSG00000089699	0	0	1	0	0	0	0
ENSMUSG00000103201	1	0	2	2	5	4	6
ENSMUSG00000103147	1	0	1	2	3	2	5
ENSMUSG00000103161	2	3	2	1	9	14	11
ENSMUSG00000102331	0	2	7	2	18	10	10
ENSMUSG00000102348	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0
ENSMUSG00000102948	0	0	0	0	0	0	0
ENSMUSG00000025900	0	2	0	0	1	1	0
ENSMUSG00000104123	0	0	0	0	0	0	0
ENSMUSG00000025902	35	37	71	28	123	119	118
ENSMUSG00000104238	0	0	2	2	5	5	3
ENSMUSG00000102269	0	2	1	0	4	5	4
ENSMUSG00000096126	0	0	0	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0	0
ENSMUSG00000104328	0	0	1	0	3	0	1
ENSMUSG00000102735	0	0	0	0	1	0	0
ENSMUSG00000098104	3	2	3	2	8	6	12
ENSMUSG00000102175	0	0	1	3	6	4	6
ENSMUSG00000088000	0	0	0	0	1	1	3
ENSMUSG00000103265	0	0	3	0	4	1	4
ENSMUSG00000103922	2	2	5	5	15	4	16
ENSMUSG00000033845	137	101	174	91	545	438	419
ENSMUSG00000102275	1	3	3	0	5	6	12
ENSMUSG00000025903	333	241	372	231	784	650	654
ENSMUSG00000104217	0	0	0	0	0	0	1
ENSMUSG00000033813	166	163	215	177	652	543	566
ENSMUSG00000062588	1	0	3	2	4	2	10
ENSMUSG00000103280	0	1	7	0	12	13	22
ENSMUSG00000002459	3	5	5	3	26	22	81
ENSMUSG00000091305	0	0	0	0	7	2	6
ENSMUSG00000102653	0	0	0	1	19	12	25
ENSMUSG00000085623	3	0	6	2	38	13	53
ENSMUSG00000091665	0	0	0	0	0	0	0
ENSMUSG00000033793	430	372	572	265	1914	1416	1243
ENSMUSG00000104352	0	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0	0
ENSMUSG00000025905	0	0	0	0	0	0	0
ENSMUSG00000103936	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0
ENSMUSG00000033774	0	0	0	0	0	0	0
ENSMUSG00000103090	0	0	0	0	0	0	0
ENSMUSG00000025907	690	635	1117	523	1995	1556	2178
ENSMUSG00000090031	13	24	37	13	127	81	144
ENSMUSG00000087247	0	0	0	0	0	0	0
ENSMUSG00000103355	0	0	0	0	0	0	0
ENSMUSG00000102706	0	0	0	0	0	0	0
ENSMUSG00000103845	0	0	0	0	0	0	0
ENSMUSG00000033740	2	0	0	0	1	3	2
ENSMUSG00000103329	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0
ENSMUSG00000102135	0	1	1	1	2	2	2
ENSMUSG00000103282	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0
ENSMUSG00000051285	1028	1183	1663	936	1940	1594	1711
ENSMUSG00000098201	1	4	2	3	8	14	14
