,GEO #,file #,file name,finished
0,GSE74826,GSM1782773,ChIPSeq_WT_L1_H3K4me3,True
1,GSE74826,GSM1936103,ChIPSeq_WT_p13_MED1,
2,GSE74826,GSM1936105,ChIPSeq_WT_p13_ELF5,
3,GSE74826,GSM2102904,ChIPSeq_WT_L1_STAT5A_rep1,
4,GSE74826,GSM2102905,ChIPSeq_WT_L1_STAT5A_rep2,
5,GSE74826,GSM2102906,ChIPSeq_WT_L1_GR_rep1,
6,GSE74826,GSM2102907,ChIPSeq_WT_L1_GR_rep2,
7,GSE74826,GSM2102908,ChIPSeq_WT_L1_H3K27ac_rep1,
8,GSE74826,GSM2102909,ChIPSeq_WT_L1_H3K27ac_rep2,
9,GSE74826,GSM2102910,ChIPSeq_WT_L1_MED1_rep1,
10,GSE74826,GSM2102911,ChIPSeq_WT_L1_MED1_rep2,
11,GSE74826,GSM2102912,ChIPSeq_WT_L1_NFIB_rep1,
12,GSE74826,GSM2102913,ChIPSeq_WT_L1_NFIB_rep2,
13,GSE74826,GSM2102914,ChIPSeq_WT_L1_ELF5_rep1,
14,GSE74826,GSM2102915,ChIPSeq_WT_L1_ELF5_rep2,
15,GSE74826,GSM2102916,ChIPSeq_WT_L1_RNAPolII_rep1,
16,GSE74826,GSM2102917,ChIPSeq_WT_L1_RNAPolII_rep2,
17,GSE74826,GSM2102918,ChIPSeq_WT_p13_STAT5A_rep1,
18,GSE74826,GSM2102919,ChIPSeq_WT_p13_STAT5A_rep2,
19,GSE74826,GSM2102920,ChIPSeq_WT_p13_GR_rep1,
20,GSE74826,GSM2102921,ChIPSeq_WT_p13_GR_rep2,
21,GSE74826,GSM2102922,ChIPSeq_WT_p13_H3K27ac_rep1,
22,GSE74826,GSM2102923,ChIPSeq_WT_p13_H3K27ac_rep2,
23,GSE74826,GSM2102924,ChIPSeq_WT_p13_NFIB_rep1,
24,GSE74826,GSM2102925,ChIPSeq_WT_p13_NFIB_rep2,
25,GSE74826,GSM2102926,ChIPSeq_WT_p13_ELF5_rep1,
26,GSE74826,GSM2102927,ChIPSeq_WT_p13_ELF5_rep2,
27,GSE74826,GSM2102928,ChIPSeq_WT_p13_H3K4me3,
28,GSE74826,GSM2102929,ChIPSeq_WT_p13_MECs_H3K4me3,
29,GSE74826,GSM2102930,ChIPSeq_WT_L1_MECs_H3K4me3,
30,GSE74826,GSM2425112,ChIPSeq_WT_p14_H3K27ac,
31,GSE74826,GSM2425113,ChIPSeq_WT_p14_STAT5A,
32,GSE74826,GSM2425114,ChIPSeq_WT_p16_H3K27ac,
33,GSE74826,GSM2425115,ChIPSeq_WT_p16_STAT5A,
34,GSE74826,GSM2425116,ChIPSeq_WT_L1_CTCF,
35,GSE74826,GSM2102960,DNaseSeq_WT_L1_rep1,
36,GSE74826,GSM2102961,DNaseSeq_WT_L1_rep2,
37,GSE84115,GSM2300456,ChIPSeq-WT-L1-STAT5A-rep1,
38,GSE84115,GSM2300457,ChIPSeq-WT-L1-STAT5A-rep2,
39,GSE84115,GSM2300458,ChIPSeq-WT-I12-STAT5A-rep1,
40,GSE84115,GSM2300459,ChIPSeq-WT-I12-STAT5A-rep2,
41,GSE84115,GSM2300460,ChIPSeq-WT-I24-STAT5A-rep1,
42,GSE84115,GSM2300461,ChIPSeq-WT-I24-STAT5A-rep2,
