group,replicate,fastq_1,fastq_2,antibody,control
WT_L1_ELF5,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIP-seq-Elf5-V5-L1-rep2.fastq.gz,,ELF5,WT_L1_CONTROL
WT_L1_ELF5,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIP-seq-Elf5-V5-L1-rep1.fastq.gz,,ELF5,WT_L1_CONTROL
WT_L1_ELF5,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIPSeq_WT_L1_ELF5_rep2.fastq.gz,,ELF5,WT_L1_CONTROL
WT_L1_ELF5,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIPSeq_WT_L1_ELF5_rep1.fastq.gz,,ELF5,WT_L1_CONTROL
WT_L1_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIP-seq-WT-L1-GR-rep1.fastq.gz,,GR,WT_L1_CONTROL
WT_L1_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L1/WT_L1_GR_S72_L007_R1_001.fastq.gz,,GR,WT_L1_CONTROL
WT_L1_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIPSeq-WT-L1-GR-rep2.fastq.gz,,GR,WT_L1_CONTROL
WT_L1_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIPSeq-WT-L1-GR-rep1.fastq.gz,,GR,WT_L1_CONTROL
WT_L1_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIP-seq-WT-L1-GR-rep2.fastq.gz,,GR,WT_L1_CONTROL
WT_L1_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L1/WT_L1_GR_S62_L007_R1_001.fastq.gz,,GR,WT_L1_CONTROL
WT_L1_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIPSeq_WT_L1_GR_rep1.fastq.gz,,GR,WT_L1_CONTROL
WT_L1_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L1/ChIPSeq_WT_L1_GR_rep2.fastq.gz,,GR,WT_L1_CONTROL
